iter	Passed	Remaining
298	2238	1504
299	2245	1497
300	2252	1489
301	2262	1483
302	2269	1475
303	2276	1468
304	2282	1459
305	2289	1451
306	2297	1444
307	2304	1436
308	2310	1428
309	2316	1419
310	2324	1412
311	2330	1404
312	2338	1397
313	2347	1390
314	2356	1383
315	2362	1375
316	2368	1367
317	2376	1359
318	2381	1351
319	2391	1345
320	2398	1337
321	2405	1329
322	2411	1321
323	2418	1313
324	2425	1306
325	2432	1298
326	2439	1290
327	2445	1282
328	2453	1275
329	2461	1267
330	2474	1263
331	2481	1255
332	2489	1248
333	2496	1240
334	2503	1233
335	2509	1224
336	2515	1216
337	2522	1208
338	2529	1201
339	2536	1193
340	2543	1185
341	2550	1178
342	2558	1170
343	2564	1163
344	2572	1155
345	2578	1147
346	2586	1140
347	2592	1132
348	2599	1124
349	2605	1116
350	2611	1108
351	2619	1101
352	2625	1093
353	2633	1086
354	2639	1077
355	2647	1070
356	2653	1063
357	2660	1055
358	2668	1048
359	2674	1039
360	2683	1033
361	2689	1025
362	2696	1017
363	2702	1009
364	2717	1005
365	2726	998
366	2734	991
367	2742	983
368	2749	975
369	2755	968
370	2763	960
371	2769	952
372	2778	945
373	2784	937
374	2791	930
375	2797	922
376	2804	914
377	2811	907
378	2817	899
379	2824	892
380	2830	884
381	2839	877
382	2846	869
383	2854	862
384	2863	855
385	2869	847
386	2876	839
387	2883	832
388	2890	824
389	2896	816
390	2903	809
391	2910	801
392	2918	794
393	2924	786
394	2930	779
395	2938	771
396	2945	764
397	2963	759
398	2971	752
399	2978	744
400	2984	736
401	2991	729
402	2997	721
403	3005	714
404	3012	706
405	3019	699
406	3025	691
407	3033	684
408	3040	676
409	3047	669
410	3053	661
411	3059	653
412	3070	646
413	3076	639
414	3082	631
415	3088	623
416	3097	616
417	3104	608
418	3116	602
419	3122	594
420	3131	587
421	3138	580
422	3146	572
423	3152	565
424	3161	557
425	3167	550
426	3173	542
427	3181	535
428	3188	527
429	3202	521
430	3210	513
431	3216	506
432	3224	499
433	3231	491
434	3237	483
435	3245	476
436	3252	468
437	3261	461
438	3267	454
439	3274	446
440	3281	439
441	3288	431
442	3295	423
443	3302	416
444	3310	409
445	3316	401
446	3324	394
447	3331	386
448	3339	379
449	3345	371
450	3352	364
451	3359	356
452	3370	349
453	3377	342
454	3384	334
455	3391	327
456	3398	319
457	3405	312
458	3411	304
459	3420	297
460	3426	289
461	3447	283
462	3455	276
463	3462	268
464	3468	261
465	3474	253
466	3480	245
467	3490	238
468	3496	231
469	3504	223
470	3510	216
471	3519	208
472	3525	201
473	3532	193
474	3538	186
475	3546	178
476	3552	171
477	3559	163
478	3566	156
479	3572	148
480	3580	141
481	3587	133
482	3593	126
483	3600	119
484	3607	111
485	3614	104
486	3621	96
487	3628	89
488	3634	81
489	3643	74
490	3649	66
491	3655	59
492	3661	51
493	3668	44
494	3683	37
495	3689	29
496	3697	22
497	3703	14
498	3710	7
499	3717	0
