iter	RMSE
238	0.7278945526
239	0.7275148869
240	0.7269836827
241	0.7256570829
242	0.7254340734
243	0.7236530421
244	0.7222066228
245	0.7208914807
246	0.720697166
247	0.7199432062
248	0.7181852278
249	0.7167215508
250	0.7164182889
251	0.7156338501
252	0.7148326903
253	0.7133608449
254	0.7128798356
255	0.7121249419
256	0.7108266936
257	0.7099264308
258	0.7090911972
259	0.70889699
260	0.7079426712
261	0.7065389824
262	0.7056567436
263	0.7054452144
264	0.7052535039
265	0.7036107805
266	0.7027271459
267	0.7014892559
268	0.7001691512
269	0.6992407588
270	0.6990417804
271	0.6986202268
272	0.6971980925
273	0.6968304722
274	0.6966097122
275	0.696437042
276	0.6958220366
277	0.6948619116
278	0.6935216506
279	0.6919166264
280	0.6905886136
281	0.6893230257
282	0.6881296999
283	0.6869860639
284	0.6858552343
285	0.6856828183
286	0.6844831519
287	0.6843358367
288	0.6839994095
289	0.6829278051
290	0.6822600407
291	0.6821220994
292	0.6816465744
293	0.6805741949
294	0.679446912
295	0.6785028052
296	0.6774522222
297	0.6773331357
298	0.6763227642
299	0.6758658774
300	0.6749052724
301	0.6744612941
302	0.6735961144
303	0.6725924865
304	0.6719823528
305	0.6715542164
306	0.6706432355
307	0.6702194752
308	0.6692574677
309	0.6683972071
310	0.6675890511
311	0.6674375512
312	0.6670611201
313	0.6668653566
314	0.6661805199
315	0.6646705738
316	0.6639047116
317	0.6632240384
318	0.662323891
319	0.6619199689
320	0.6617472251
321	0.6611337838
322	0.661019923
323	0.6605811187
324	0.6601820113
325	0.6595386283
326	0.6586217112
327	0.657920385
328	0.657753894
329	0.6573559504
330	0.6569869484
331	0.6561887956
332	0.6551540877
333	0.6549653919
334	0.6543013823
335	0.6540717195
336	0.6533103358
337	0.6526823696
338	0.6519200159
339	0.6517646615
340	0.6515335144
341	0.6509978803
342	0.6498626097
343	0.6492231595
344	0.6488055309
345	0.6480015136
346	0.647741963
347	0.6463449234
348	0.6457733646
349	0.6447789077
350	0.644299587
351	0.6442028906
352	0.6434804065
353	0.6430364664
354	0.6428049057
355	0.6423457321
356	0.6421080054
357	0.6415984427
358	0.6414335893
359	0.6405676787
360	0.6397622606
361	0.6390081664
362	0.6385184472
363	0.6380323477
364	0.6374226583
365	0.6364144962
366	0.6356915268
367	0.6348468643
368	0.6344144633
369	0.6343072356
370	0.6339593089
371	0.6331481087
372	0.6330038173
373	0.632342869
374	0.6318630936
375	0.6317382665
376	0.6315238961
377	0.6309110784
378	0.6302908007
379	0.6296743907
380	0.628275225
381	0.627817295
382	0.6272302557
383	0.6269469
384	0.6264545605
385	0.6259206851
386	0.6257675281
387	0.6252175451
388	0.6250368531
389	0.6244105547
390	0.6237988268
391	0.6226063538
392	0.6221706379
393	0.6215766185
394	0.621051573
395	0.6208933802
396	0.6195751247
397	0.6194120772
398	0.6190315301
399	0.6186764906
400	0.6174731743
401	0.6169224881
402	0.6161723358
403	0.6157977903
404	0.6155499677
405	0.6152482804
406	0.6150613893
407	0.6138823142
408	0.6137068751
409	0.6135928959
410	0.6130412887
411	0.6119794019
412	0.611591788
413	0.6110640661
414	0.6100983085
415	0.6093903652
416	0.6084116681
417	0.6080556542
418	0.6074624159
419	0.6069337484
420	0.6066446794
421	0.6063414635
422	0.6062320515
423	0.6057775491
424	0.6052802414
425	0.6050569744
426	0.6046120889
427	0.6044371719
428	0.6039425283
429	0.603718219
430	0.6031178635
431	0.6027110479
432	0.6017681214
433	0.6016272892
434	0.6011096192
435	0.600903324
436	0.6006728292
437	0.6005083063
438	0.6000160215
439	0.5998866445
440	0.5994816581
441	0.5993289707
442	0.5991624062
443	0.5987387153
444	0.5986619166
445	0.5977487814
446	0.5976062367
447	0.5967749085
448	0.596413948
449	0.5960479823
450	0.5959605272
451	0.5958286334
452	0.595165714
453	0.5948237494
454	0.5940785063
455	0.5936259881
456	0.5933924108
457	0.5933334468
458	0.5926073087
459	0.5922092213
460	0.5920090349
461	0.591887799
462	0.5917993304
463	0.5917464713
464	0.5916486479
465	0.5909397812
466	0.5903759777
467	0.5897875974
468	0.5897355067
469	0.5892289857
470	0.5891255414
471	0.5885802367
472	0.5878543114
473	0.5876296821
474	0.5875703401
475	0.5870142741
476	0.5866443808
477	0.5862912994
478	0.5860834809
479	0.5860323877
480	0.5859055505
481	0.5857738195
482	0.5851734976
483	0.5847621603
484	0.5845774752
485	0.5844895007
486	0.5843707791
487	0.5841870995
488	0.5839684576
489	0.5838723868
490	0.5837847549
491	0.5836786509
492	0.5835300376
493	0.5834215478
494	0.5830958556
495	0.5825414192
496	0.5822572512
497	0.5818453986
498	0.5813709124
499	0.5809408016
500	0.5808423634
501	0.5804586908
502	0.5803651866
503	0.5802890651
504	0.5799054897
505	0.579627616
506	0.5795492321
507	0.5794597903
508	0.5794216278
509	0.5790908283
510	0.5786467847
511	0.5783128677
512	0.578029614
513	0.5776596297
514	0.5775798208
515	0.5772570799
516	0.5769479768
517	0.5766187972
518	0.5763071596
519	0.5761052305
520	0.5760003787
521	0.5758271769
522	0.5756429802
523	0.5753385318
524	0.5750081881
525	0.5747586991
526	0.5743296636
527	0.5739749077
528	0.5737149027
529	0.5731973544
530	0.5730611804
531	0.5729183303
532	0.5727636873
533	0.5727320153
534	0.5725780203
535	0.5724723816
536	0.5723223759
537	0.5722048023
538	0.5717299543
539	0.571423014
540	0.5713162253
541	0.5712010945
542	0.5710524955
543	0.5708657793
544	0.5706424435
545	0.5703523545
546	0.5700890949
547	0.5700326522
548	0.5699471304
549	0.5698778741
550	0.569799737
551	0.5696734752
552	0.569441991
553	0.5693983859
554	0.5689249303
555	0.5688727257
556	0.568595268
557	0.5684906139
558	0.5683314968
559	0.5682029977
560	0.5680551875
561	0.5679359639
562	0.5677991622
563	0.5677592605
564	0.5676052969
565	0.567494105
566	0.5672459253
567	0.5670355063
568	0.566942803
569	0.5664694647
570	0.5662800539
571	0.5658214612
572	0.5657364827
573	0.5656115381
574	0.5653311031
575	0.56518176
576	0.5649578729
577	0.5648218798
578	0.5647870565
579	0.5646760553
580	0.5644006823
581	0.5639686772
582	0.5638990786
583	0.5636259058
584	0.5633323932
585	0.5629476238
586	0.5625277358
587	0.5622721114
588	0.5619953054
589	0.561883279
590	0.561744403
591	0.5616580233
592	0.5613850577
593	0.5611484434
594	0.5610283245
595	0.5607912296
596	0.5604952301
597	0.5603914963
598	0.5603558253
599	0.5601943793
600	0.5599430989
601	0.5597052089
602	0.5595577799
603	0.5594888436
604	0.5593482403
605	0.5592269579
606	0.5589281677
607	0.5588077535
608	0.5587712132
609	0.5587031414
610	0.5586456292
611	0.5586113749
612	0.558575952
613	0.5585001663
614	0.5583429097
615	0.557932529
616	0.5577982733
617	0.5575797758
618	0.5574302108
619	0.5571836067
620	0.5571024614
621	0.5569227217
622	0.5568123137
623	0.5567279672
624	0.5566494333
625	0.5566261458
626	0.556416852
627	0.5563116231
628	0.5562697158
629	0.5562257442
630	0.5559735058
631	0.5555761079
632	0.5555066275
633	0.555376147
634	0.5553083006
635	0.555073888
636	0.5550177695
637	0.5548182961
638	0.5546090076
639	0.5544761764
640	0.5543471007
641	0.5541647544
642	0.554140945
643	0.5539668391
644	0.5536705065
645	0.5535856807
646	0.5534441115
647	0.5534162705
648	0.5533764675
649	0.5532865041
650	0.5531672492
651	0.5530352395
652	0.552974179
653	0.5529223455
654	0.5528085463
655	0.552607227
656	0.5522059417
657	0.551969987
658	0.5518924171
659	0.5517041118
660	0.5513278033
661	0.5511296033
662	0.5509208189
663	0.5508679097
664	0.55070011
665	0.5506316085
666	0.550608655
667	0.5503660094
668	0.5501751067
669	0.5499810398
670	0.5499194393
671	0.549807541
672	0.5497340976
673	0.5493684067
674	0.5492677592
675	0.5490770296
676	0.5487498325
677	0.5486562552
678	0.5485633037
679	0.5484614998
680	0.5483603943
681	0.5482168222
682	0.5478616996
683	0.5478302346
684	0.5476509947
685	0.5475934384
686	0.5475689278
687	0.5475397012
688	0.5469698821
689	0.5468247642
690	0.5464666492
691	0.5461754315
692	0.5461646804
693	0.5461419188
694	0.5461343166
695	0.5460908898
696	0.5460807823
697	0.5457340649
698	0.5454888608
699	0.5454796125
700	0.5452061829
701	0.5450891432
702	0.5445701009
703	0.5444819795
704	0.544404488
705	0.5443560097
706	0.5442403695
707	0.5441653104
708	0.5440624877
709	0.5440279947
710	0.5439239107
711	0.5438512167
712	0.5436861681
713	0.5434814911
714	0.5432735311
715	0.543181165
716	0.5431093352
717	0.5429341502
718	0.5428047565
719	0.542670713
720	0.5422574992
721	0.5421041781
722	0.5418566485
723	0.5417909008
724	0.5417669843
725	0.5417179991
726	0.5413827076
727	0.5413241969
728	0.5412398805
729	0.5412074839
730	0.5408940898
731	0.5408032313
732	0.5407200393
733	0.5405743385
734	0.5405379389
735	0.5404900841
736	0.5403478236
737	0.5401156279
738	0.5400960594
739	0.5397830373
740	0.5395584048
741	0.5392548741
742	0.5391824231
743	0.538939147
744	0.5388805604
745	0.5385860953
746	0.5385608421
747	0.5384800392
748	0.5384065364
749	0.5383770289
750	0.5383221433
751	0.5380363813
752	0.5378437008
753	0.5377703742
754	0.5377264074
755	0.5374537144
756	0.5373044332
757	0.5372161222
758	0.5371804018
759	0.5369979583
760	0.5369049296
761	0.5367166504
762	0.5366849414
763	0.5364248349
764	0.536378227
765	0.5361351956
766	0.536044941
767	0.5358090475
768	0.5356274908
769	0.5355526521
770	0.5355089749
771	0.5354137549
772	0.5353338821
773	0.5351116345
774	0.5350317976
775	0.5349441279
776	0.53486367
777	0.5346871735
778	0.5346507498
779	0.5345822601
780	0.5344992768
781	0.5344234151
782	0.5343780068
783	0.5343451431
784	0.5343136199
785	0.5342357156
786	0.5340198134
787	0.5338072228
788	0.5337519723
789	0.533682443
790	0.5335899972
791	0.5335817448
792	0.5335356052
793	0.533388891
794	0.5333613559
795	0.5331478195
796	0.5330423144
797	0.5330263138
798	0.5329203554
799	0.5328714714
800	0.532825494
801	0.5326915271
802	0.532641582
803	0.5325267158
804	0.5324975163
805	0.5324594836
806	0.5323105193
807	0.532251406
808	0.5321744861
809	0.5320071088
810	0.5316613084
811	0.5315810153
812	0.5314757118
813	0.5313761855
814	0.5313350487
815	0.531313485
816	0.5310580236
817	0.5309983412
818	0.5309294236
819	0.5308161014
820	0.5307457153
821	0.530700183
822	0.5303738721
823	0.5302630178
824	0.5302489149
825	0.5301259083
826	0.5300991417
827	0.5300560591
828	0.5300166869
829	0.529800396
830	0.5297606253
831	0.529706403
832	0.5296329625
833	0.5295868827
834	0.529518059
835	0.5294506868
836	0.5293460279
837	0.5292230099
838	0.529171524
839	0.5291015771
840	0.5290606082
841	0.529001719
842	0.5289489298
843	0.5286421707
844	0.5283256565
845	0.5282233837
846	0.5278704513
847	0.5277652141
848	0.5277065269
849	0.5275452688
850	0.5274821668
851	0.5274445931
852	0.5272982855
853	0.5272659652
854	0.5272283071
855	0.5271742653
856	0.526971911
857	0.5268730513
858	0.5266928949
859	0.5265996981
860	0.5265499623
861	0.5265123781
862	0.5264207439
863	0.5263829916
864	0.5261841216
865	0.5260652099
866	0.5259706785
867	0.5258958287
868	0.5258119955
869	0.5256933466
870	0.5253959466
871	0.5253604365
872	0.52523746
873	0.5251354941
874	0.5250410575
875	0.5249421363
876	0.5249044033
877	0.524854296
878	0.5246498973
879	0.5245920069
880	0.5245392577
881	0.5243993783
882	0.5243736581
883	0.5243421867
884	0.524155956
885	0.5241107071
886	0.5240517292
887	0.5239896397
888	0.5239230588
889	0.5238299745
890	0.5236936945
891	0.5235027936
892	0.5233974231
893	0.523313004
894	0.5232785973
895	0.5232053625
896	0.5231245702
897	0.5230479003
898	0.522998211
899	0.5229364401
900	0.5228714701
901	0.5228189415
902	0.5227619299
903	0.5225714032
904	0.5224189868
905	0.5222833945
906	0.5222444248
907	0.5220661326
908	0.5219239476
909	0.5218945953
910	0.5218096758
911	0.5217449404
912	0.5216990252
913	0.521605373
914	0.5215712626
915	0.5215112386
916	0.5214845022
917	0.5214063213
918	0.5213448189
919	0.5213259094
920	0.5212354847
921	0.5212104859
922	0.521177521
923	0.520998231
924	0.5209380285
925	0.5209027055
926	0.5208629143
927	0.5208080699
928	0.5206340118
929	0.5204651517
930	0.5203880142
931	0.5203248937
932	0.52016102
933	0.5200587434
934	0.5199444992
935	0.5198098019
936	0.5196694896
937	0.5196429202
938	0.5195200261
939	0.519483598
940	0.5194028514
941	0.5192436497
942	0.5190891564
943	0.5190302139
944	0.518973344
945	0.5188825832
946	0.5188195971
947	0.5187411415
948	0.5186647432
949	0.518593134
950	0.5184680372
951	0.5183178809
952	0.5182838344
953	0.5182628389
954	0.5181018408
955	0.5180476744
956	0.5180107539
957	0.5179579326
958	0.517918344
959	0.5178443943
960	0.5177745952
961	0.5177254098
962	0.517671522
963	0.5176432568
964	0.5175596235
965	0.5175001083
966	0.5173541075
967	0.5173166767
968	0.5172821213
969	0.5172583395
970	0.5171165632
971	0.5170917412
972	0.5170233007
973	0.5168855677
974	0.5167709909
975	0.5166377234
976	0.5165938649
977	0.5165208525
978	0.5164681381
979	0.5164291503
980	0.5162992896
981	0.5161734755
982	0.5161109567
983	0.5160413742
984	0.5160056591
985	0.5159759264
986	0.5158536157
987	0.5157332297
988	0.5156180789
989	0.5154591629
990	0.5153402682
991	0.5152792766
992	0.5152407458
993	0.5151020541
994	0.514981684
995	0.5148875176
996	0.5148499645
997	0.5147916663
998	0.5147156651
999	0.5146991985
